lemma,lemma_freq,lemma_len,n_forms
europe,22628420.0,6,1
even,130943090.0,4,1
evening,13134377.0,7,2
event,41639538.0,5,2
eventually,2218786.0,10,1
ever,39805996.0,4,1
every,63144706.0,5,1
everybody,4066554.0,9,1
everyday,4565185.0,8,1
everyone,14473465.0,8,1
everything,22592480.0,10,1
evidence,34374951.0,8,1
evolve,3236807.0,6,1
exalt,788626.0,5,1
examine,7511339.0,7,1
example,98399813.0,7,2
excite,3675168.0,6,1
excitedly,380331.0,9,1
excitement,3427417.0,10,1
exclaim,2353102.0,7,1
exhaust,84246.0,7,1
exhibit,3681750.0,7,1
existence,16608192.0,9,1
expect,21880269.0,6,1
expectation,6791104.0,11,1
expensive,6087651.0,9,1
experience,56320258.0,10,2
experimental,7782812.0,12,1
expertise,3645505.0,9,1
explained,12566891.0,9,1
explanation,3209381.0,11,1
expose,6899661.0,6,1
express,14200038.0,7,1
expression,20601318.0,10,1
extended,10761527.0,8,1
extent,18293383.0,6,1
extra,7759192.0,5,1
extraordinarily,777329.0,15,1
extraordinary,4415638.0,13,1
extraterrestrial,11044.0,16,1
extremely,9873741.0,9,1
extremity,672729.0,9,1
eye,57974417.0,3,2
face,52868252.0,4,2
facial,2210934.0,6,1
fact,61142902.0,4,1
facto,1019956.0,5,1
factor,25057224.0,6,1
failure,16636624.0,7,1
fair,10168232.0,4,1
fall,28906346.0,4,3
fallen,5034130.0,6,1
false,8965826.0,5,1
fame,2125715.0,4,1
family,80495339.0,6,2
famous,9360112.0,6,1
fan,256187.0,3,1
far,50059082.0,3,1
faraway,245945.0,7,1
fashionably,62603.0,11,1
fast,11581233.0,4,1
father,37245167.0,6,1
fear,24384704.0,4,3
fearsome,218485.0,8,1
feather,1311688.0,7,1
feature,979031.0,7,1
february,13102292.0,8,1
fed,3765916.0,3,1
fee,4461757.0,3,1
feel,33877718.0,4,1
feeling,17997939.0,7,1
fell,12415770.0,4,1
fellow,7640878.0,6,1
felt,35889439.0,4,1
female,4184991.0,6,1
ferocity,278431.0,8,1
festival,1503065.0,8,1
few,64575815.0,3,1
field,15982333.0,5,2
field's,87539.0,7,1
fifteen,5611227.0,7,1
fifty,716814.0,5,1
fight,6930258.0,5,1
figure,22558429.0,6,2
fill,12364416.0,4,1
final,21602425.0,5,1
finally,17208239.0,7,1
find,59792457.0,4,1
find',59792457.0,5,1
fine,15623119.0,4,1
finger,5091093.0,6,1
finish,8993459.0,6,1
fire,20358097.0,4,1
first,172429084.0,5,1
fish,12018637.0,4,2
flame,3923935.0,5,2
flap,297204.0,4,1
flemish,424825.0,7,1
flew,2656765.0,4,1
float,5020776.0,5,3
flock,1524747.0,5,2
floor,15763266.0,5,1
florida,5211391.0,7,1
flour,2135831.0,5,1
flow,1098833.0,4,1
flower,11160197.0,6,3
flower's,17073.0,8,1
fly,10885324.0,3,3
foam,212383.0,4,1
focus,8093758.0,5,1
folding,981146.0,7,1
folk,3479440.0,4,1
follow,23689125.0,6,1
food,29768787.0,4,1
fool,371279.0,4,1
foot,23073556.0,4,1
for,1388290219.0,3,1
force,4823146.0,5,1
forest,9078094.0,6,1
forget,1964672.0,6,1
forgotten,4692028.0,9,1
form,96082668.0,4,2
formal,11940654.0,6,1
fort,4331192.0,4,1
fortunate,1781675.0,9,1
fortune,3300609.0,7,1
forty,6900914.0,5,1
fortyone,152603.0,8,1
fortyseven,152521.0,10,1
fortyseven',152521.0,11,1
found,90450272.0,5,2
four,49087752.0,4,1
fourth,3129893.0,6,1
fraction,4070260.0,8,1
free,39192789.0,4,1
freedom,2877633.0,7,1
french,26321301.0,6,1
frequency,12691327.0,9,1
fresh,9401087.0,5,1
friedman,1242691.0,8,1
friend,22974473.0,6,1
frighten,2413075.0,8,1
frog,550370.0,4,1
from,708532803.0,4,1
frown,373996.0,5,1
frozen,2924343.0,6,1
fry,521851.0,3,1
fuel,5641113.0,4,1
full,39841263.0,4,1
fully,15213503.0,5,1
fume,101601.0,4,1
fun',5883928.0,4,1
function,4371222.0,8,1
funny,2653472.0,5,1
furious,1285256.0,7,1
future,34678665.0,6,2
gamble,1406032.0,6,1
garden,7558249.0,6,1
gather,5394781.0,6,1
geese,456207.0,5,1
gelid,5523.0,5,1
gene,13032662.0,4,2
general,24695243.0,7,1
generally,25469457.0,9,1
generals',281641.0,9,1
generate,8249792.0,8,1
